ensembl,WT1,WT2,WT3,WT4,WT5,MT16W1,MT16W2,MT16W3,MT16W4,MT16W5,MT20W1,MT20W2,MT20W3,MT20W4
ENSMUSG00000027573,7.01266,7.07846,6.58286,6.95728,6.83098,6.45482,6.90735,6.96061,6.70346,6.57719,7.43117,6.94801,6.78101,7.44945
ENSMUSG00000060240,4.85983,4.61481,4.8749,4.56909,4.58037,4.55722,4.4755,4.1527,4.45501,4.601,4.10167,4.66462,4.70897,4.19328
ENSMUSG00000018995,7.35281,7.09352,6.93773,7.20251,7.07714,7.01359,7.26186,6.77254,7.12879,7.30282,6.93058,7.06743,6.83009,6.41441
ENSMUSG00000090083,7.70263,7.82926,7.87757,7.78649,7.76483,7.66807,7.82387,7.88753,8.02128,7.70398,8.11422,8.09907,8.71722,8.28973
ENSMUSG00000039155,4.46433,3.99639,4.28231,4.63703,3.97266,3.96725,4.10736,4.20106,4.03111,4.20621,3.73198,3.73658,4.00754,4.14446
ENSMUSG00000035704,6.62524,6.50296,5.75271,6.67547,6.50229,6.46771,6.72523,6.39608,6.61193,6.67063,6.71079,6.89515,6.42145,6.66252
ENSMUSG00000014418,5.86151,5.58052,5.49067,5.86831,5.93774,5.55383,5.62192,5.9414,5.37188,5.80686,5.48121,5.55483,5.46632,6.25271
ENSMUSG00000056076,9.24199,9.21577,8.73305,9.24325,8.92608,9.13372,9.07574,8.8246,9.07401,9.17457,9.52008,9.75242,9.59793,9.31609
ENSMUSG00000031343,3.58704,3.75237,3.651,3.83378,3.37164,3.56178,3.78226,3.19369,3.87261,3.39337,3.09237,3.29841,3.18684,2.93458
ENSMUSG00000044600,6.07542,5.98994,5.76446,5.8538,5.90077,5.99827,6.22939,5.40795,5.83264,5.9548,5.64038,5.41179,5.91109,5.31333
ENSMUSG00000047642,3.73265,3.5949,3.99487,3.9235,3.56367,2.9354,3.78163,3.6325,3.39198,3.80079,3.71089,3.37626,3.80045,3.61626
ENSMUSG00000045031,7.63168,7.75455,7.16162,7.64102,7.76835,7.1035,7.32297,7.14554,7.21523,7.52655,7.41556,6.94101,7.14729,7.81611
ENSMUSG00000049755,7.20508,7.04387,6.83639,6.86283,7.32278,7.0124,6.97324,7.20845,7.1761,6.97779,6.47928,6.65599,6.63998,7.00961
ENSMUSG00000020684,5.58276,5.29296,5.25068,5.17134,5.34021,5.18119,4.93034,4.4709,5.23964,5.62126,4.94713,4.98772,5.02343,4.82507
ENSMUSG00000047067,6.95119,6.96777,7.10864,6.7675,7.09747,6.49964,6.61779,6.78862,6.83351,6.97211,6.47946,6.5017,6.42823,6.37305
ENSMUSG00000026078,9.08008,9.06849,8.74675,8.97832,8.97377,8.85352,9.18069,9.24237,9.08336,8.99339,9.4357,9.33828,9.81793,9.29115
ENSMUSG00000002797,3.8581,4.09024,4.40483,4.33594,3.73699,4.03607,4.04997,4.16493,4.16373,4.04745,3.98839,4.17206,3.56397,3.80351
ENSMUSG00000087095,3.43581,3.4053,3.80081,3.23157,3.34029,3.46249,3.11844,3.80352,3.40078,3.36416,2.98479,2.98433,2.9216,3.06585
ENSMUSG00000030117,3.5434,3.6337,3.56008,3.84363,3.60832,3.87813,3.50631,4.09761,3.71714,3.81949,3.93658,3.9706,3.89905,4.32179
ENSMUSG00000001441,3.30745,3.06811,3.26501,3.35337,3.32593,3.54127,3.33631,3.10192,3.24762,3.30745,3.79625,3.67665,3.33132,3.93499
ENSMUSG00000021070,3.16074,3.12633,3.35008,3.15475,2.9707,3.05945,3.10942,2.93336,2.94605,3.04958,2.90356,3.98735,3.0681,3.16074
ENSMUSG00000030443,5.39987,5.15036,5.29043,5.29208,5.39265,5.20829,4.85126,5.21883,5.43333,5.35038,4.35183,4.95056,5.0592,4.90557
ENSMUSG00000030781,4.79541,4.6004,5.00799,4.4901,4.70047,4.86503,4.04757,4.63964,5.05359,4.81931,4.6324,4.39939,4.70813,4.31003
ENSMUSG00000032570,4.60011,4.65908,5.16618,4.87621,4.70417,4.86125,4.53069,4.37747,4.73909,4.74992,4.44894,4.23204,4.00264,4.50595
ENSMUSG00000023235,5.03722,4.99232,4.75586,5.11613,4.9979,4.69862,4.91853,4.70879,4.87227,5.0492,4.53172,5.00494,5.72569,4.54035
ENSMUSG00000056755,2.36007,2.52776,2.78234,3.26139,2.38551,2.95207,2.62857,2.29475,2.88308,2.52754,2.50025,2.91314,2.33668,2.56812
ENSMUSG00000041992,6.49368,6.61116,6.7149,6.90479,6.4751,7.06503,7.07203,7.23689,7.13259,6.89029,7.14926,6.74255,6.65947,6.61304
ENSMUSG00000033918,9.01722,9.11451,8.84136,8.99348,8.79057,8.82112,9.04352,8.74641,8.82857,8.69392,8.71765,8.66043,7.94238,8.49785
ENSMUSG00000052217,3.12392,3.53647,3.2851,2.94526,3.28177,3.25622,2.86309,3.29437,3.37147,3.36064,3.32281,3.24451,3.65125,3.4165
ENSMUSG00000032293,8.53626,8.45343,8.18923,8.30828,8.51461,8.45302,8.40506,8.6243,8.51379,8.08234,8.87502,8.70388,8.95217,9.11663
ENSMUSG00000025722,7.34688,7.53387,7.11682,7.20051,7.29309,7.35494,7.40797,7.08033,7.41976,7.18091,7.60772,7.73825,7.42703,8.02513
ENSMUSG00000028661,3.7544,3.6337,4.02601,4.0883,3.7296,4.38222,3.76513,3.49147,4.25094,4.0205,3.74214,4.47863,3.95641,3.81576
ENSMUSG00000038180,4.32385,4.36406,4.38261,4.72402,4.52724,4.72672,4.76949,4.0074,4.55422,4.78524,4.29403,4.37169,4.16794,4.70094
ENSMUSG00000028007,7.54934,7.61212,7.19817,7.7051,7.34333,7.65449,8.23302,7.74844,7.59028,7.85232,7.6309,8.1971,7.5193,7.30388
ENSMUSG00000034918,3.56731,3.67137,3.82947,3.77431,3.18793,3.4611,3.31866,3.31364,3.42482,3.5511,3.41018,3.49419,3.29557,3.54155
ENSMUSG00000047473,3.77491,3.57945,3.55928,3.21053,3.6241,3.23122,3.26333,3.36664,3.16255,3.63611,3.13034,3.1008,3.19474,2.82959
ENSMUSG00000021962,7.57331,7.32027,7.129,7.59591,7.42309,7.47222,7.55561,7.59715,7.78412,7.42531,7.83875,8.11676,7.86207,8.13285
ENSMUSG00000037727,3.92056,3.75325,4.15745,3.79457,3.58305,3.77817,3.81724,3.44121,4.36558,4.04401,3.62374,3.63524,3.53384,3.59066
ENSMUSG00000030493,5.97029,6.06617,5.84683,5.93788,5.81622,5.78902,5.83183,5.868,5.82216,5.90082,5.89703,6.22952,5.62108,6.67135
ENSMUSG00000003068,3.77607,3.69925,4.23009,3.83728,3.61266,3.66233,3.72116,3.34464,4.06062,4.08117,3.46364,4.01529,3.32586,3.41046
ENSMUSG00000008604,5.15725,5.46309,5.39554,5.77211,5.28943,5.72814,5.47354,5.51005,5.67147,5.98447,5.82606,5.83436,6.12418,5.44674
ENSMUSG00000030577,4.79541,4.86229,4.86732,5.10173,4.90736,4.91847,4.83796,4.88976,4.54414,5.0993,4.78595,5.44402,5.35783,4.8323
ENSMUSG00000038570,4.71778,4.49949,4.7087,5.15978,5.09653,4.79541,4.51097,4.26998,4.75883,4.88963,4.56642,4.37169,4.87718,4.70261
ENSMUSG00000020728,5.5383,5.67872,5.50681,5.51481,5.48245,5.31676,5.43154,5.80232,5.5448,5.67531,5.62882,5.65477,5.66412,6.27559
ENSMUSG00000050846,7.19642,7.01785,7.04848,7.40249,7.144,7.14136,7.18066,7.30268,7.30151,7.37549,7.40559,7.48054,8.0155,7.72964
ENSMUSG00000056379,2.96472,2.72412,3.48508,3.09028,2.94546,2.98418,2.8618,2.63073,2.94607,3.24914,2.89464,2.70699,2.62162,2.84117
ENSMUSG00000040219,4.03494,4.58766,4.36719,4.22416,4.08185,4.27517,4.12444,3.96571,4.46224,4.18384,4.18543,4.41315,3.38742,3.98452
ENSMUSG00000026753,9.2403,9.05813,9.1265,8.97406,9.11048,8.96898,8.92762,8.96305,9.05531,9.12995,8.64588,8.41367,8.45217,8.67247
ENSMUSG00000058402,4.61283,4.68396,4.06918,4.57365,4.68219,4.46082,4.36274,4.79864,4.15728,4.41454,4.38413,4.00444,4.50992,4.64126
ENSMUSG00000017868,4.03841,3.87308,4.22778,4.04076,3.68539,3.75087,3.86304,4.22723,4.32603,3.91036,3.7996,3.98525,3.68682,3.83982
ENSMUSG00000056829,4.22324,3.85686,4.12949,3.87957,3.97131,3.89547,4.40621,3.89866,4.41158,4.1261,3.78776,4.35649,4.17364,4.11567
ENSMUSG00000001767,7.75971,7.82867,7.80408,8.04354,7.77955,7.64951,7.93547,8.19205,7.76319,7.69057,8.10723,7.95793,8.01956,8.68212
ENSMUSG00000025499,7.53135,7.61448,7.76624,7.74364,7.48592,7.8887,7.62396,7.45489,7.89356,7.8708,7.71684,8.48453,7.8456,7.97887
ENSMUSG00000025357,7.53185,7.59937,7.67654,7.82854,7.70405,7.91691,7.25392,7.79652,7.60961,7.46222,7.15788,7.29986,7.00332,7.88784
ENSMUSG00000015659,4.89944,4.97001,5.35664,4.73707,5.03383,4.86011,4.92655,4.81,5.12106,4.61547,5.06684,4.57284,5.51421,4.95408
ENSMUSG00000056458,5.26464,5.36731,5.59672,5.47405,5.41635,5.13866,4.95458,5.32248,5.20307,5.46157,5.83377,5.6441,5.8618,5.62742
ENSMUSG00000023968,2.92752,3.44095,3.50803,3.43654,3.38234,3.17008,3.10381,3.89203,3.65613,3.12673,3.08533,3.04448,3.16393,3.16512
ENSMUSG00000014470,5.94839,6.01822,6.41811,6.10771,6.34138,6.10648,5.93113,6.42234,6.46417,5.74346,5.92979,6.21695,6.82753,5.99952
ENSMUSG00000027599,3.4748,3.56771,3.34892,3.6659,3.44639,3.71194,3.8412,3.17997,3.99502,3.99822,3.84653,3.79115,3.66984,3.46876
ENSMUSG00000044296,3.40654,3.61222,3.28099,3.17943,3.11164,2.80793,3.12144,2.89464,3.29457,3.10473,3.08803,2.42562,2.93342,2.89811
ENSMUSG00000040123,6.83916,6.90794,7.08432,6.82927,7.02646,6.72403,6.87802,7.1032,6.89024,6.47089,7.29838,7.04266,6.87583,7.06178
ENSMUSG00000029263,5.55844,5.52879,5.14059,5.82713,5.71825,5.55668,5.82458,5.74327,5.39346,5.45488,5.70925,5.13527,5.58429,6.17274
ENSMUSG00000002015,10.9984,11.2276,10.9584,11.4436,11.0243,11.2291,11.443,10.8941,10.9849,11.3172,10.6041,11.0008,10.876,10.5965
